"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"A0A0J9YV90",26.08101082,26.11733627,26.21391487,24.88278961,26.0908947,26.52556419,25.25078964,26.36851311,26.04807854,26.22040749,25.91205025,26.38246727,26.18232155,26.08543396,25.38912392,24.20395088,26.26936913,24.12171555
"J3QMN4",26.5723629,26.80008316,26.65239334,26.5386467,26.85709381,26.91307831,26.76913261,26.93708038,26.70279312,26.50938988,26.77391815,26.48761559,26.96752167,27.23498344,27.35270691,27.32928658,27.28868103,24.6640377
"A0A0N4SUH4",26.38988495,26.19936562,26.32003403,26.66084862,26.38533211,26.26083565,26.23425293,26.20678139,26.28742981,25.90614319,26.33655739,26.30077362,26.31027031,26.22525215,26.49445152,26.17447662,26.24673653,26.15441132
"Q9QZ23",29.17181206,28.75490379,29.08012199,29.27193069,29.05682755,29.43119431,29.4929142,29.10224533,29.1090126,28.96413803,29.478405,29.26521492,29.49676514,29.45845985,29.2720871,29.57414436,29.28392029,29.33140182
"Q8BN64",26.44928551,24.48897934,26.28822327,23.93763351,24.12554359,23.85669518,25.49915886,26.09502792,26.20213509,24.80600357,26.20237732,26.13928604,26.84122086,26.49086189,26.47971153,26.60399437,26.7863121,26.24168968
"A0A0N4SV80",25.93206406,25.51059723,25.83614922,26.02637482,25.92827415,25.98072052,25.39201546,25.68645668,25.885252,25.66914749,24.64396667,25.8008728,25.2398777,24.47527313,24.85104179,24.51192474,24.82424355,24.55731964
"A0A0N4SVA6",26.01990128,24.50389099,26.08269691,26.60031128,26.23174667,25.0825901,25.80072403,24.11323357,25.93262672,25.23731804,24.34573746,25.79607582,25.96013832,25.74419594,25.68431664,24.64875793,24.38582802,25.34394646
"Q3TAP5",27.63519478,27.72812653,27.72793198,28.04301643,27.94346619,27.65792274,27.16240501,27.38459206,27.34299469,27.31734467,27.5061245,27.42237854,27.57159615,27.38170815,27.45810699,27.41385269,27.1788311,27.29570389
"Q9DAS9",29.13977814,29.26013184,28.83068466,29.20941353,29.32296181,28.86635017,28.7459259,28.79702377,29.04944611,28.62857056,28.83448601,28.92365646,28.89194679,28.86342812,28.89709282,28.8699131,28.79915619,28.90641403
"A0A0N5E9G7",28.22724533,28.42666435,28.50111961,28.34129906,28.4558754,28.54995346,28.322855,28.25601959,28.38960648,28.26646805,28.26575279,28.14165497,28.53084946,28.41683388,28.40198326,28.3622303,28.42886162,28.42358208
"A0A0R3P9C4",27.45920181,24.04849625,27.5575695,25.11693382,27.57427025,27.63713264,27.38985252,27.40932655,27.63436508,27.28029633,27.38022232,25.07611656,27.69165611,27.39623642,24.51383591,27.41167259,27.25277519,27.0956707
"A0A0R3P9C8",30.37937546,30.2720871,30.19319344,30.35520935,30.27008247,30.06817436,29.70399857,30.06932831,30.12028122,29.96884155,29.66832542,29.77519035,29.96320152,29.63972092,29.90296745,29.8541832,29.73553848,29.66156387
"A0A0R4IZW8",28.16954422,28.27652931,28.65485382,28.10694313,27.8292923,28.17040253,28.73892403,28.76084709,28.38652611,28.79082298,28.4623642,28.51054573,28.13892365,28.24712563,28.02146912,28.0351181,28.40981293,28.11426163
"Q6P5I1",27.52514648,27.32448769,27.42678452,27.18839073,27.5103569,27.54436302,27.40430069,27.18139267,27.32380104,27.26042366,27.44102669,27.29649162,27.50914764,27.33670998,27.48830414,27.34036446,27.75894356,27.57866669
"A0A0R4IZY0",27.3882103,27.22094154,27.15692139,26.99539566,27.16911316,27.26132011,27.65006638,27.40226746,27.52035904,27.94061279,27.66050911,27.6442337,27.70648766,27.55098152,27.67808342,27.38220215,27.36444473,27.56296349
"A0A0R4IZY9",25.65050316,24.82085609,25.5177021,25.37289047,24.65264511,25.50312424,25.3882103,25.28845215,25.1843853,25.75350761,25.24619293,25.39312935,25.26202011,25.90304375,25.66313171,25.30865669,24.30049133,25.30556488
"A0A0R4J005",26.2940731,26.31264496,26.41876602,26.11269188,26.37529182,26.47108459,26.73427963,26.67815018,26.79191017,26.95947456,26.76382637,26.91490364,26.79203415,26.33711815,26.5335331,26.8604126,26.75468063,26.81872749
